blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,Longitude,Latitude
588B,ANG MO KIO ST 52,30,2011,Y,N,N,N,N,N,AMK,145,0,0,0,30,115,0,0,0,0,0,0,0,588B ANG MO KIO ST 52,103.853150894936,1.37197571261128
588B,MONTREAL DR,14,2000,Y,N,N,N,N,N,SB,96,0,0,0,0,0,96,0,0,0,0,0,0,588B MONTREAL DR,103.825135383691,1.45043745007348
588B,WOODLANDS DR 16,1,2000,N,N,N,N,N,Y,WL,0,0,0,0,0,0,0,0,0,0,0,0,0,588B WOODLANDS DR 16,103.795023830248,1.42827020245134
588C,ANG MO KIO ST 52,30,2011,Y,N,N,N,N,N,AMK,145,0,0,0,30,115,0,0,0,0,0,0,0,588C ANG MO KIO ST 52,103.853670978083,1.37183157010083
588C,MONTREAL DR,14,2000,Y,N,N,Y,N,N,SB,109,0,0,0,0,109,0,0,0,0,0,0,0,588C MONTREAL DR,103.824578498241,1.45048422477721
588D,ANG MO KIO ST 52,30,2011,Y,N,N,N,N,N,AMK,143,0,0,0,86,57,0,0,0,0,0,0,0,588D ANG MO KIO ST 52,103.8538833087,1.37175400663025
589,ANG MO KIO ST 52,1,2011,N,N,N,N,N,Y,AMK,0,0,0,0,0,0,0,0,0,0,0,0,0,589 ANG MO KIO ST 52,103.852571691092,1.37236674058762
589,WOODLANDS DR 16,12,1999,Y,N,N,Y,N,N,WL,132,0,0,0,0,88,44,0,0,0,0,0,0,589 WOODLANDS DR 16,103.795127473119,1.42774541328112
589A,MONTREAL DR,14,2001,Y,N,N,N,N,N,SB,105,0,0,0,75,30,0,0,0,0,0,0,0,589A MONTREAL DR,103.825767137323,1.44970161541843
589B,MONTREAL DR,14,2001,Y,N,N,N,N,N,SB,104,0,0,0,74,30,0,0,0,0,0,0,0,589B MONTREAL DR,103.825477345733,1.44967865537361
